,ID,RevolvingUtilizationOfUnsecuredLines,age,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,NumberOfDependents
0,38250,0.689748997,38,0.650817884,4584.0,13,2,0.0
1,13403,1.043620502,32,0.025320846,5765.0,3,0,1.0
2,8615,0.456954305,48,0.58022184,6400.0,7,2,1.0
3,21200,0.36884403299999996,52,0.07866202900000001,9775.0,8,0,0.0
4,100806,0.5052784,62,0.414859252,6500.0,23,0,2.0
5,25360,0.7249100359999999,49,0.285047767,4500.0,8,1,0.0
6,45617,0.981819835,59,0.24682080899999997,3459.0,9,0,0.0
7,25139,0.9999998999999999,59,0.0,2180.0,0,0,0.0
8,31036,0.9999998999999999,50,0.551068418,5100.0,2,1,1.0
9,2472,0.9999998999999999,46,0.673163418,2000.0,5,0,0.0
10,103931,0.173423014,29,1.159905938,1700.0,16,0,0.0
11,114201,0.9999998999999999,48,0.0,6250.0,0,0,2.0
12,147749,1.71536069,35,0.8245308170000001,9750.0,16,2,2.0
13,2934,1.063782107,45,0.257588899,2305.0,10,0,2.0
14,55762,0.252638596,51,0.038422987,2992.0,2,0,3.0
15,112689,0.054184471,87,0.0109978,5000.0,7,0,1.0
16,31971,1.025906147,72,3948.0,,8,3,0.0
17,116528,0.550824809,46,0.352962895,5416.0,10,2,5.0
18,11656,0.9999998999999999,53,0.12388837800000001,3260.0,1,0,0.0
19,125480,0.337831084,26,0.17553469,3833.0,7,0,0.0
20,66590,0.166593613,42,0.266359284,16916.0,12,3,2.0
21,138013,0.889196676,35,0.050824863,6000.0,2,0,0.0
22,26156,1.405315615,35,0.186026936,4751.0,4,0,0.0
23,51776,0.194447712,31,0.01774308,2817.0,2,0,0.0
24,23415,0.378180636,49,0.429494411,9750.0,18,2,2.0
25,61935,0.9999998999999999,41,0.001713796,3500.0,4,0,0.0
26,59723,1.066518847,38,0.510655248,5020.0,9,1,1.0
27,114950,0.24793033,25,0.09153389599999999,3200.0,6,0,0.0
28,149664,1.744510978,49,1.224310276,2500.0,4,2,1.0
29,18633,0.646846891,57,1.162418791,2000.0,15,1,0.0
30,10865,0.18873034100000002,37,0.484575835,2333.0,8,1,1.0
31,121141,0.9999998999999999,45,0.319142074,6200.0,7,1,2.0
32,149482,0.8732506999999999,44,0.021000763,51140.0,7,1,3.0
33,137052,0.7931062520000001,35,0.09830056599999999,3000.0,3,0,4.0
34,97193,0.14296905599999998,44,0.292756656,8600.0,11,1,1.0
35,14,0.964672555,40,0.38296474700000005,13700.0,9,1,2.0
36,80583,0.012526208,57,0.10286765099999999,17400.0,9,1,0.0
37,61238,0.8492369129999999,44,0.43188446,7200.0,11,2,0.0
38,65212,0.703477888,43,3939.0,,7,0,0.0
39,43568,0.828421293,42,0.428946382,5333.0,6,2,0.0
40,114029,0.9999998999999999,50,0.7791361040000001,2453.0,5,1,0.0
41,83951,0.6373626370000001,25,0.0223398,1700.0,2,0,0.0
42,75608,0.253444248,52,0.41671527399999997,12000.0,15,1,0.0
43,23090,0.267710585,43,7357.0,,7,1,0.0
44,11591,0.33470331600000003,42,5152.0,,14,2,0.0
45,39573,0.9999998999999999,50,0.0,,7,0,0.0
46,120603,0.9999998999999999,56,0.428103602,3358.0,3,1,1.0
47,103048,0.7784431140000001,21,0.010989011000000002,1000.0,1,0,0.0
48,11325,0.213299431,58,0.7441674979999999,5014.0,16,2,0.0
49,7312,0.155940299,79,0.232736573,5473.0,9,2,1.0
50,140754,0.856239245,66,1399.0,1.0,16,1,0.0
51,57504,0.002899952,61,3984.0,,11,2,0.0
52,135183,0.003058734,51,0.87291713,4500.0,6,3,0.0
53,52673,0.9999998999999999,30,0.253521127,2200.0,3,0,0.0
54,74425,0.9721689859999999,26,0.290033595,1785.0,4,0,0.0
55,36018,0.573856536,29,0.257290513,2708.0,4,0,0.0
56,63625,0.160715406,49,0.757103768,4750.0,24,1,0.0
57,144215,0.19374941899999998,51,0.345836629,8850.0,5,2,2.0
58,130044,0.674248338,44,0.9941190879999999,4080.0,10,2,3.0
59,50388,0.127459256,47,0.00999875,8000.0,3,0,1.0
60,122238,0.465537928,27,0.190615836,3750.0,6,0,0.0
61,75377,0.005096445,60,0.023224308,5166.0,4,1,0.0
62,83994,0.17696076800000002,53,0.586314848,2235.0,10,1,1.0
63,69295,0.084613835,41,137.0,,3,0,0.0
64,11020,0.015614713,85,0.058094190999999996,10000.0,9,0,0.0
65,2974,0.055588063,44,0.19356720300000002,12000.0,14,1,0.0
66,138679,0.070046508,56,0.343689736,14000.0,8,1,0.0
67,60071,0.9999998999999999,23,0.017334778000000002,2768.0,2,0,1.0
68,44256,0.835728618,48,0.518043814,11000.0,17,3,4.0
69,129721,0.0,73,1183.0,,5,2,0.0
70,41104,0.9999998999999999,63,218.0,,0,0,0.0
71,62200,0.770558704,50,0.2608526,10250.0,10,1,2.0
72,68880,0.100321324,58,326.0,,7,0,0.0
73,13201,0.183134435,68,914.0,,19,0,0.0
74,135490,0.040748545,83,0.289576328,7434.0,8,1,0.0
75,112215,0.112967908,65,0.18665555600000003,16800.0,13,2,2.0
76,132337,0.67912504,48,0.428545137,10866.0,12,2,0.0
77,1091,0.0,37,0.372395469,7150.0,3,2,2.0
78,119123,0.651667549,34,3115.0,,9,3,0.0
79,11858,0.059138195,54,0.283428876,7500.0,11,1,3.0
80,85354,0.5955002389999999,61,0.491110814,7480.0,14,2,0.0
81,113984,0.126709946,62,0.23821320699999998,12916.0,20,1,0.0
82,124424,0.03499825,56,1785.0,,13,0,0.0
83,97315,0.486510623,51,0.476803321,9634.0,20,2,0.0
84,19294,0.7549303540000001,51,0.133011207,14900.0,8,2,1.0
85,47949,0.072623934,54,0.096935933,3589.0,5,0,3.0
86,42684,0.037717615,56,0.092888515,10700.0,8,1,0.0
87,141873,0.081630853,52,1376.0,,11,2,0.0
88,50787,0.046708171,66,0.36973833899999997,2636.0,3,1,0.0
89,132602,0.484775761,56,0.560347786,8740.0,6,3,0.0
90,22264,0.211541208,69,241.0,,2,0,0.0
91,3620,0.010350746999999999,55,29.0,,6,0,
92,71724,0.24894179100000002,31,0.20878329699999998,4166.0,4,0,0.0
93,77646,0.0,47,0.284085275,6050.0,5,1,0.0
94,22020,0.10357928400000001,44,0.0043898159999999995,3416.0,6,0,2.0
95,126378,0.08105217099999999,74,0.079331257,6100.0,10,1,0.0
96,132393,0.75024975,44,0.31934033,2000.0,6,0,1.0
97,18361,0.25697233,60,2762.0,,16,1,0.0
98,80086,0.061268135,31,0.009996668,3000.0,4,0,1.0
99,87768,0.156034792,58,0.42442481299999996,10300.0,6,1,1.0
100,97798,0.011180167,45,0.002431775,3700.0,4,0,3.0
101,33496,0.9999998999999999,63,0.0,,8,0,0.0
102,74265,0.024146014,43,0.245116992,15000.0,11,2,2.0
103,45030,0.028819729,63,0.229307683,8420.0,16,2,0.0
104,140124,0.654625603,46,0.5715855,5461.0,10,1,3.0
105,22063,0.127363815,49,0.28285733,15300.0,15,2,1.0
106,38007,0.36169609399999997,45,0.59289966,9407.0,14,5,0.0
107,60957,0.158853436,61,0.29613407,5250.0,14,2,0.0
108,145148,0.19838692,31,0.141239174,1500.0,3,0,1.0
109,59974,0.169112911,51,0.432298365,5442.0,8,1,0.0
110,3182,0.11729413,42,0.131391031,3500.0,8,1,2.0
111,136883,0.214893334,42,0.218840258,4500.0,8,1,1.0
112,94402,0.138464588,50,0.09139414800000001,17429.0,13,1,4.0
113,29467,0.0,31,1966.0,,9,2,0.0
114,143700,0.044834179,50,3232.0,,6,1,0.0
115,84742,0.0,51,0.103393844,3800.0,5,0,0.0
116,79208,0.36761852,38,0.13889379699999999,5658.0,10,0,0.0
117,117867,0.968161451,72,0.251133086,4853.0,9,0,0.0
118,137562,0.12703555800000002,51,0.082412914,3530.0,6,0,0.0
119,105297,0.045562197,67,3995.0,,4,1,1.0
